DATE,SYMBOL,PRICE_USD,CEX_TRADING_VOLUME_24H_USD,CIRCULATING_TOKENS
02/07/2026,ETH,2042.53312744,56914268030,120692919
02/07/2026,NEAR,1.079309347,248780146,1287120122
02/07/2026,SOL,86.653954241,10797288172,567282515
02/07/2026,XRP,1.45963287,11948335603,60917315351
02/07/2026,ZEC,237.307191817,716528652,16511427
02/06/2026,AAVE,100.81839022,1028609359,15189592
02/06/2026,ADA,0.2443000486,1662172176,36787594678
02/06/2026,BNB,616.036534864,4839773178,136359729
02/06/2026,BTC,63659.607469887,156815640640,19984921
02/06/2026,ETH,1876.064926527,70267911390,120693508
02/06/2026,NEAR,0.9520048717,459829652,1287016361
02/06/2026,SOL,75.856669067,13296330309,566666008
02/06/2026,XRP,1.221288395,13462845366,60917315351
02/06/2026,ZEC,203.604022432,786737504,16511427
02/05/2026,AAVE,123.913710845,516374720,15189392
02/05/2026,ADA,0.2864255892,752359352,36787594678
02/05/2026,BNB,694.924032707,2646892317,136359804
02/05/2026,BTC,72704.596990326,73911996476,19984512
02/05/2026,ETH,2145.724776743,45002681732,120693508
02/05/2026,NEAR,1.155878158,176832902,1286939300
02/05/2026,SOL,91.637919398,7563882890,566544268
02/05/2026,XRP,1.492278134,4527775235,60917315351
02/05/2026,ZEC,251.940526562,459557339,16511427
02/04/2026,AAVE,125.781776231,458484436,15187919
02/04/2026,ADA,0.2946761461,738577610,36787594678
02/04/2026,BNB,754.582169056,1996104991,136359866
02/04/2026,BTC,75937.903921452,76240752181,19982656
02/04/2026,ETH,2245.499647558,50416152730,120693577
02/04/2026,NEAR,1.185232467,197669411,1286861440
02/04/2026,SOL,98.230568201,6308503483,566551556
02/04/2026,XRP,1.577868682,4107301078,60853233336
02/04/2026,ZEC,276.262121783,473581073,16511427
02/03/2026,AAVE,127.815379669,472118371,15187656
02/03/2026,ADA,0.2996262671,819497382,36787594678
02/03/2026,BNB,773.491043576,2223783461,136359930
02/03/2026,BTC,79014.421739228,83073579310,19982656
02/03/2026,ETH,2353.067843146,48769882385,120693748
02/03/2026,NEAR,1.201585896,208538504,1286756288
02/03/2026,SOL,103.909472635,7445784246,566429574
02/03/2026,XRP,1.61491885,4733073141,60853233336
02/03/2026,ZEC,293.137911608,459086610,16511427
02/02/2026,AAVE,126.076208762,400747445,15187303
02/02/2026,ADA,0.2892895435,695782644,36780903711
02/02/2026,BNB,763.724859252,1965272628,136360002
02/02/2026,BTC,77622.423199087,58582866106,19982656
02/02/2026,ETH,2293.597718374,41740020072,120693815
02/02/2026,NEAR,1.193140657,183370670,1286677368
02/02/2026,SOL,102.175465191,6162775958,566430996
02/02/2026,XRP,1.60401516,3996246476,60853233336
02/02/2026,ZEC,314.212866726,472849206,16511427
02/01/2026,AAVE,129.72248324,525220908,15187212
02/01/2026,ADA,0.2952983483,1386753216,36780903711
02/01/2026,BNB,784.313392616,2695474472,136360056
02/01/2026,BTC,78750.147576923,80086167240,19982656
02/01/2026,ETH,2446.75906692,50700360850,120693815
02/01/2026,NEAR,1.208433996,269178758,1286599156
02/01/2026,SOL,105.53808238,10310143828,566308908
02/01/2026,XRP,1.662285326,6315379910,60853233336
02/01/2026,ZEC,305.990243371,667773769,16511427
01/31/2026,AAVE,137.621083365,333137231,15187053
01/31/2026,ADA,0.3196808886,731320071,36780903711
01/31/2026,BNB,856.01763468,2313566578,136360116
01/31/2026,BTC,83945.205967782,77292646391,19982493
01/31/2026,ETH,2702.160899601,40289441468,120694259
01/31/2026,NEAR,1.318375341,223211442,1286521137
01/31/2026,SOL,117.440671533,7171042163,566310285
01/31/2026,XRP,1.734078872,4957896458,60853233336
01/31/2026,ZEC,339.533094742,545947594,16511427
01/30/2026,AAVE,146.434531681,441265909,15185339
01/30/2026,ADA,0.3335777495,623372573,36780903711
01/30/2026,BNB,863.443883618,3383544605,136360207
01/30/2026,BTC,84012.615501921,72026348422,19982090
01/30/2026,ETH,2800.407950332,39662370216,120694351
01/30/2026,NEAR,1.368318573,170156778,1286415336
01/30/2026,SOL,117.510260159,6304103785,566190029
01/30/2026,XRP,1.79578725,4616651880,60853233336
01/30/2026,ZEC,353.636476435,470134969,16511427
01/29/2026,AAVE,159.434625535,395901629,15184640
01/29/2026,ADA,0.3558530015,429549258,36780903711
01/29/2026,BNB,902.706879591,1198543913,136360270
01/29/2026,BTC,89003.018113827,45824390831,19981681
01/29/2026,ETH,3004.88155583,21948281769,120694374
01/29/2026,NEAR,1.477466131,124487476,1286336923
01/29/2026,SOL,124.843913545,3825102115,566191448
01/29/2026,XRP,1.902402915,2278215175,60853233336
01/29/2026,ZEC,370.202266804,512258945,16511427
01/28/2026,AAVE,158.258441402,354117856,15184605
01/28/2026,ADA,0.3588481848,448881059,36774107791
01/28/2026,BNB,898.437738698,1257567503,136360325
01/28/2026,BTC,89306.634663652,43984882809,19981340
01/28/2026,ETH,3018.58188035,28577097596,120694394
01/28/2026,NEAR,1.491386329,114442122,1286258799
01/28/2026,SOL,126.968452228,4015856804,566068940
01/28/2026,XRP,1.90871523,2188432111,60853233336
01/28/2026,ZEC,400.50166668,611920322,16511427
01/27/2026,AAVE,153.98111439,325078990,15185557
01/27/2026,ADA,0.3516728892,433172062,36774107791
01/27/2026,BNB,876.113146628,1213140452,136360381
01/27/2026,BTC,88191.422726737,49381541335,19980959
01/27/2026,ETH,2913.351474994,30106259451,120694419
01/27/2026,NEAR,1.467167399,105100976,1286181141
01/27/2026,SOL,123.912212491,4441480361,566070542
01/27/2026,XRP,1.900409587,2918992555,60853233336
01/27/2026,ZEC,366.971981323,567996735,16511427
01/26/2026,AAVE,148.988070275,324777201,15185534
01/26/2026,ADA,0.3433514004,503685747,36774107791
01/26/2026,BNB,866.762730104,1340954453,136360434
01/26/2026,BTC,86768.222160416,41944580952,19980568
01/26/2026,ETH,2837.809003312,24463053635,120694435
01/26/2026,NEAR,1.444044883,129372499,1286077093
01/26/2026,SOL,119.492019448,5260581430,565948207
01/26/2026,XRP,1.850427622,2802724156,60853233336
01/26/2026,ZEC,331.544327919,432169448,16511427
01/25/2026,AAVE,156.294028535,147719362,15183665
01/25/2026,ADA,0.3583818363,193015827,36774107791
01/25/2026,BNB,884.703963433,592303158,136360482
01/25/2026,BTC,89169.745134276,16101717040,19980246
01/25/2026,ETH,2954.088039877,8183768278,120694449
01/25/2026,NEAR,1.511497202,60111073,1285999478
01/25/2026,SOL,127.087171399,1701929489,565949382
01/25/2026,XRP,1.911174741,975466447,60853233336
01/25/2026,ZEC,361.784301887,340404962,16511427
01/24/2026,AAVE,156.665158184,351722976,15183658
01/24/2026,ADA,0.3589768743,420659882,36774107791
01/24/2026,BNB,888.631896271,1161069448,136360562
01/24/2026,BTC,89334.750340128,42593103586,19979915
01/24/2026,ETH,2946.726445098,22748998644,120694469
01/24/2026,NEAR,1.502855524,111348957,1285921900
01/24/2026,SOL,127.262495899,4075879356,565826723
01/24/2026,XRP,1.917011315,2478279216,60853233336
01/24/2026,ZEC,367.447735648,348434056,16511427
01/23/2026,AAVE,157.347491645,326415407,15183142
01/23/2026,ADA,0.359205436,378238392,36774107791
01/23/2026,BNB,888.868279879,1198079183,136360678
01/23/2026,BTC,89493.131565743,39009822554,19979481
01/23/2026,ETH,2952.129071372,21886815341,120694491
01/23/2026,NEAR,1.515491583,112473402,1285816687
01/23/2026,SOL,128.278161058,3426100431,565827823
01/23/2026,XRP,1.91710991,2305576573,60789498738
01/23/2026,ZEC,369.157567959,372948197,16511427
01/22/2026,AAVE,160.998011567,362161681,15182652
01/22/2026,ADA,0.3673728082,682878396,36767176679
01/22/2026,BNB,888.45679691,3025379846,136360806
01/22/2026,BTC,89782.926342941,60933909627,19978959
01/22/2026,ETH,3001.530326439,36320302172,120694540
01/22/2026,NEAR,1.54119531,199583276,1285739312
01/22/2026,SOL,129.996192086,5828350278,565705416
01/22/2026,XRP,1.954081348,4351572651,60789498738
01/22/2026,ZEC,357.848392148,558155193,16508289
01/21/2026,AAVE,155.139857667,269606483,15182646
01/21/2026,ADA,0.3564504813,699083216,36767176679
01/21/2026,BNB,880.250421729,2461005270,136360949
01/21/2026,BTC,88833.358635466,61945092861,19978565
01/21/2026,ETH,2956.375979552,34404406126,120694565
01/21/2026,NEAR,1.525203514,193388547,1285656977
01/21/2026,SOL,127.208215907,6098100704,565706642
01/21/2026,XRP,1.91091938,3622058501,60789498738
01/21/2026,ZEC,353.280315381,639932665,16508289
01/20/2026,AAVE,163.548139265,256750589,15183605
01/20/2026,ADA,0.3681049172,664999205,36767176679
01/20/2026,BNB,928.558905412,2011904034,136361031
01/20/2026,BTC,92634.735985835,35686341944,19978134
01/20/2026,ETH,3180.949148874,22442478199,120694585
01/20/2026,NEAR,1.58756531,195459904,1285579360
01/20/2026,SOL,133.623567028,3673386312,565584188
01/20/2026,XRP,1.984336183,3316233699,60789498738
01/20/2026,ZEC,368.418522767,512344189,16506089
01/19/2026,AAVE,163.092900605,339648023,15183562
01/19/2026,ADA,0.3625404382,656973538,36760319896
01/19/2026,BNB,918.05469445,1792044320,136361105
01/19/2026,BTC,92567.560649869,31889054565,19977687
01/19/2026,ETH,3210.487281992,21141000647,120694592
01/19/2026,NEAR,1.568264908,268542444,1285501755
01/19/2026,SOL,133.696688143,4776424094,565585053
01/19/2026,XRP,1.947114512,2941579653,60789498738
01/19/2026,ZEC,361.060651291,412516393,16503852
01/18/2026,AAVE,173.777547704,198698049,15183538
01/18/2026,ADA,0.3961835783,321284600,36760319896
01/18/2026,BNB,945.087157053,1213918001,136361175
01/18/2026,BTC,95043.886604593,18005578249,19977190
01/18/2026,ETH,3301.94843008,11506300605,120694601
01/18/2026,NEAR,1.755088334,152839177,1285397828
01/18/2026,SOL,143.214279326,2039118038,565462354
01/18/2026,XRP,2.058856198,1294950704,60789498738
01/18/2026,ZEC,399.29505286,273084352,16502875
01/17/2026,AAVE,175.545121017,261265395,15183574
01/17/2026,ADA,0.3956730499,555499775,36760319896
01/17/2026,BNB,935.717075309,1175843374,136361222
01/17/2026,BTC,95427.582862563,36605871614,19976781
01/17/2026,ETH,3291.298889524,23013204696,120694613
01/17/2026,NEAR,1.732932906,147118693,1285320482
01/17/2026,SOL,144.256703341,3952266877,565463564
01/17/2026,XRP,2.063068417,2324889190,60789498738
01/17/2026,ZEC,406.226336067,404893278,16500938
01/16/2026,AAVE,172.046975559,390539109,15183454
01/16/2026,ADA,0.3933855473,674458101,36760319896
01/16/2026,BNB,932.955634388,1596190998,136361290
01/16/2026,BTC,95597.038500744,57497632143,19976375
01/16/2026,ETH,3316.476261682,27732997365,120694613
01/16/2026,NEAR,1.719332317,207585784,1285243060
01/16/2026,SOL,142.501600576,4915657056,565322771
01/16/2026,XRP,2.083090774,3220412217,60699081830
01/16/2026,ZEC,410.073885614,670913413,16498767
01/15/2026,AAVE,177.25561482,348886285,15184907
01/15/2026,ADA,0.4117757552,759941163,36760319896
01/15/2026,BNB,941.578556926,2199538984,137733119
01/15/2026,BTC,96714.788740316,68017049811,19975925
01/15/2026,ETH,3333.976929659,34279192019,120694650
